participant_id,wcst_rl_alpha,wcst_rl_beta,wcst_rl_n_trials,wcst_rl_alpha_pos,wcst_rl_alpha_neg,wcst_rl_alpha_asymmetry,wcst_rl_beta_asym,wcst_rl_asym_n_trials
P9bS6GGJcIXivbMWo4ibJ5jgUPG2,0.5804836640440951,0.1,68,0.29011173420559133,0.99,-0.6998882657944087,0.22442360745496312,68
PLreonkqaMeFc0UqxKUelH44UQu1,0.01,0.1,96,0.99,0.99,0.0,0.3930080644762525,96
PXesLO51qlY7lJBrLdOAZiHmUR72,0.01,0.1,128,0.01,0.99,-0.98,6.483309460978149,128
PkpTH7pWpEOG9A86xSloOSozwTk2,0.01,0.1,128,0.01,0.99,-0.98,8.936144809500247,128
QG6VXg7od2fHJ1SF9ZzYBqUa1FY2,0.01,0.1,74,0.01,0.99,-0.98,3.989388144975427,74
QbOEVCaZLUMOgltUdXm58oZOALv2,0.01,0.1,100,0.3423859019162113,0.01,0.3323859019162113,0.1,100
Qg9GDwQ9hBNkDLt50CNLd4NqRlX2,0.5758318389971333,0.803529479324349,69,0.3968843300676628,0.99,-0.5931156699323372,0.681580996374338,69
QreA2rLiUhV3YHeMfuHMPdGbpJ53,0.01,3.528487416375824,95,0.01,0.01,0.0,3.5284266342050437,95
Rc706mP0TSeIoIpMYH1SpRXjOxA2,0.99,0.8284180091229992,61,0.99,0.99,0.0,0.8284147760497088,61
Rmd4rr2vGjOoLvdfYd4EdYyxK3m1,0.01,0.1,81,0.01,0.99,-0.98,0.1,81
Ru3Qf6pXZua1DfNkQdhbor6iJ403,0.01,0.1,86,0.01,0.99,-0.98,0.1,86
SOhR7IO689NQCPQu56SjATO8FR92,0.01,0.1,100,0.717481762508793,0.7994728730029786,-0.08199111049418562,0.1885356669820047,100
SPCT9D90pRa1ihXS5jEw6vCmquI3,0.99,0.2676758093582728,128,0.99,0.99,0.0,0.26767738988117273,128
SpSfX0ZcfcPLdlOENlfdfvEPwru2,0.99,0.672321284228927,72,0.9870426618159222,0.99,-0.00295733818407784,0.6726976793723228,72
SvtOrPatsnWjicxtyndEzSdO5Wp1,0.01,0.1,86,0.01,0.57889767406011,-0.5688976740601099,0.1,86
ToTCRJ4EX9OL6UlJqmDkaEbggWF2,0.01,0.1,78,0.99,0.01,0.98,0.1,78
UK6MLdHbCaS4xIz2f3vGdpkbBzG3,0.7528824121810123,0.447176110856595,128,0.6779182361455318,0.01,0.6679182361455318,1.1492165629008593,128
Ub7nV8F55kPruh35ZpUcKoBUyn63,0.01,0.1,81,0.99,0.99,0.0,0.5532137623019425,81
UbqFccqQZZgcqJIqCn3ErH9zQdM2,0.99,0.3275324480626624,90,0.9444650127217431,0.99,-0.04553498727825689,0.3337748661337751,90
UbwuSMtBsHdW3Ji41opk3GInMqi2,0.99,0.7910436963813945,77,0.99,0.7835526338307269,0.20644736616927306,0.9126789541827103,77
VwTymW8T68MfpnJvZ2X97ILqDWS2,0.01,0.1,81,0.99,0.99,0.0,0.38030280161644087,81
WKzqsLX1lNVSdbGgYTTVGtFwsrF3,0.01,0.1,88,0.99,0.01,0.98,0.862401099981099,88
WbOfW9KmUkPQK8o5hlHJnJFdpp92,0.11154145616460873,0.5497725034070138,98,0.2040172586294319,0.01,0.1940172586294319,0.7772506511700108,98
WcTsIpSoEhYeIBSNjAbbdaNSBya2,0.99,0.22752025334499756,94,0.99,0.32838700164690954,0.6616129983530905,0.615032798914034,94
WeHQDy9BWldTlaQDVVlsJNCqwxA2,0.01,0.1,107,0.99,0.6670535499675765,0.3229464500324235,0.26979750905452704,107
Wfo71fsX1VVfPZnzhT7HEYBTwnq1,0.01,0.1,72,0.010000000000000009,0.01,8.673617379884035e-18,0.1,72
WnC6Uscb5VMIr43GASKiUCO3AYH2,0.01,0.1,74,0.8857013569742583,0.19150891945768914,0.6941924375165692,0.3719007978331598,74
WqoZv41KTtTCuPKBPyClregrKAi1,0.045427778688290225,0.4872833061547053,89,0.06990775674298717,0.01,0.05990775674298717,0.4793273328164977,89
XbHvBButpZS4bapbJXJLAYcHnn12,0.01,0.1,128,0.01,0.13793878495318032,-0.1279387849531803,0.1,128
XehZHBpwr5MYzUXkj0FAYCsFG922,0.01,0.1,115,0.016080464597450043,0.99,-0.9739195354025499,10.0,115
YEU5ox3jteVINfdSTg5ymqYcS9o2,0.01,0.1,68,0.3947446209195666,0.01,0.38474462091956657,0.1,68
Yco8O7tmHlbsUBfKW2ywcZByGO32,0.01,0.1,66,0.99,0.99,0.0,0.456385229601401,66
YzmMCD3ZmzbWlV4pTQ6hvDdnuMk2,0.01,0.1,84,0.010000000000000009,0.01,8.673617379884035e-18,0.1,84
Z3GikGkUkjMOa6UK1xdIDvuGRHp2,0.01,0.1,87,0.01,0.99,-0.98,0.1,87
ZEd5KGl23wS7rvzDkxzgqmCgLaC3,0.01,0.1,80,0.15935084553502052,0.2532112296616933,-0.09386038412667277,0.44320948924854964,80
aM2995jJmJWvr6cneaGH58HauIg2,0.01,0.1,87,0.43270781372179423,0.99,-0.5572921862782058,0.11351199464100599,87
afdTz6deeYWf1qKNdUpKAYKN3hz1,0.01,0.1,128,0.01,0.01,0.0,0.1,128
aj2Ivskb3BgyvBNTLIKlSZG0Sq22,0.01,0.1,119,0.01,0.16611841545954675,-0.15611841545954674,1.3720631536295957,119
asKxydfXDkZAk89VaD4hwVovkzJ3,0.01,0.1,81,0.5033048648408432,0.01,0.49330486484084324,0.6823218587471831,81
azdL1gX79EVd9iepyCAVQrqIaQF3,0.01,0.1,81,0.01,0.99,-0.98,3.6594470669792596,81
bXpFswkI7TfIfL6G4FqWrbaxTGx2,0.01,0.1,90,0.6867437489368978,0.459905290500769,0.22683845843612882,0.5231464845522894,90
